"AR","Headline"
1.7444866923314,1.6
1.62272384447427,1.7
1.74559480405501,1.9
1.97137889923533,1.9
1.94887943596064,1.9
1.91397423401351,2
2.02929378823676,2.3
2.37272901975593,2.4
2.46302567955393,2.5
2.52346399970592,2.3
2.27284885913531,2.1
2.02980401201638,1.9
1.83911696781813,1.9
1.87906903206638,2
2.02929378823676,1.8
1.79613124863971,2
2.01436461841375,2.2
2.27486206650625,2.5
2.58086866492774,2.4
2.42307361530569,2.5
2.4885587977588,2.4
2.38816841335856,2.4
2.37323924353555,2.7
2.73665050717885,3
3.07503887639691,2.7
2.6691521173548,2.8
2.73968416210903,3.1
3.1354771965489,2.8
2.76449563945392,2.5
2.37374946731517,2.4
2.3183580094643,1.9
1.79664147241933,1.8
1.71139167492244,1.8
1.80117811094083,2.1
2.16458937458413,2.1
2.15701908113245,2.1
2.10466127821175,2.2
2.219980832435,2.5
2.56341606395417,2.5
2.53839316952893,3
3.06263313772446,3.3
3.3959746446414,3.8
3.87773911743812,4.4
4.5046814841041,4.7
4.74823655500265,5.2
5.21254842682581,4.5
4.3403365885896,4.1
3.80945938488271,3.1
2.78852577406746,3
2.76825093524407,3.2
3.17593948457676,2.9
2.84238656057947,2.3
2.12313432674455,2.2
2.07531316234536,1.8
1.72127398244433,1.8
1.74882030802013,1.6
1.5879916034679,1.1
1.0164406946528,1.5
1.5252412692457,1.9
2.06368876640427,2.9
3.13698018014022,3.5
3.73385279007983,3
2.96758842232461,3.4
3.33676818912899,3.7
3.75989613206431,3.4
3.33655677204864,3.2
3.06113015413314,3.1
3.00321526513171,3.1
3.04064389822939,3.1
3.05809649920296,3.2
3.1734160534262,3.3
3.28621217649889,3.7
3.72751436126774,4
4.04592669836168,4.4
4.42982421790872,4
3.90609447349281,4.5
4.42297556531701,4.5
4.48016881345847,4.2
4.04694714592091,4.4
4.28515654781908,4.5
4.4477870426619,5.2
5.21759528912693,5
4.95183956165295,4.8
4.60407910869263,4.2
3.95211384760141,3.6
3.31024231111243,3.4
3.19945939541068,3.5
3.42454141777644,3
2.88032541745678,2.8
2.64485086378953,2.4
2.27588251406549,2.6
2.55152054906135,2.5
2.50096453643124,2.2
2.12262410296494,2.7
2.7242447685064,2.7
2.7639854156743,2.7
2.67672241080648,2.7
2.67672241080648,2.8
2.79204196502972,2.8
2.78951853387916,2.4
2.31078771601262,2.7
2.66684010328459,2.9
2.95971932217366,2.8
2.7869951027286,2.7
2.63929377770879,2.7
2.65926980983291,2.2
2.10012463969025,2.1
1.99742224121981,2
1.97188912301494,1.9
1.87654560091582,1.7
1.66588252459346,1.6
1.5730624336449,1.8
1.84113017518908,1.5
1.50757725119179,1.9
1.94152055958932,1.6
1.63782597523804,1.5
1.46026631057221,1.2
1.16918888197373,1.3
1.30953133062222,1
1.01340703972262,0.5
0.426926961084509,0.3
0.261262811311511,0
0.00761401581071919,0
0.0500895112095274,0
0.102447314130221,0.1
0.217766868353467,0
0.0999238829796617,0.1
0.200314267379902,0
0.0999238829796618,0
0.0849947131566569,0
0.102447314130221,0.1
0.217766868353466,0.2
0.330562991426152,0.3
0.425906513525272,0.3
0.405930481401148,0.5
0.619116988874073,0.3
0.383431018126464,0.3
0.353572678480454,0.5
0.619116988874073,0.6
0.729389680796199,0.6
0.69196104769851,1
1.13578666361792,0.9
1.01037338479244,1.2
1.28904507471848,1.6
1.76020559913334,1.8
1.9283931800569,2.3
2.43013368497775,2.3
2.38261132727782,2.7
2.75662653930297,2.9
2.97717192314723,2.6
2.55635599428211,2.6
2.52902108578666,2.9
2.92733755137709,3
3.03508681214866,3
2.9802055780774,3.1
3.07807253132708,3
2.96022954595328,3
2.94530037613027,2.7
2.6167943144341,2.5
2.39372549943929,2.4
2.33581061043786,2.4
2.37323924353555,2.4
2.39069184450911,2.5
2.50601139873236,2.7
2.73412707602829,2.4
2.36566895008387,2.4
2.33833404158842,2.3
2.27537229028587,2.1
2.04725661298994,1.8
1.72379741359489,1.9
1.88159246321694,1.9
1.93142683498708,2.1
2.14461334246,2
2.02424692593564,2
1.99186515513907,2.1
2.12463731033588,1.7
1.66083566229234,1.7
1.65347678592101,1.5
1.49264808136878,1.5
1.4976949436699,1.3
