"AR","Headline","SARIMA"
1.7444866923314,1.6,1.59840000118381
1.62272384447427,1.7,1.61779433978805
1.74559480405501,1.9,1.75030643674159
1.97137889923533,1.9,1.94332067350475
1.94887943596064,1.9,1.92044500850225
1.91397423401351,2,1.92441130478947
2.02929378823676,2.3,2.06561321653698
2.37272901975593,2.4,2.37398082096344
2.46302567955393,2.5,2.45856094882709
2.52346399970592,2.3,2.50552248988833
2.27284885913531,2.1,2.25084212201899
2.02980401201638,1.9,2.02352052543891
1.83911696781813,1.9,1.83851714557461
1.87906903206638,2,1.85925704175997
2.02929378823676,1.8,1.93389396836725
1.79613124863971,2,1.80252207529969
2.01436461841375,2.2,2.04658226458116
2.27486206650625,2.5,2.24717343964265
2.58086866492774,2.4,2.48098381288819
2.42307361530569,2.5,2.41767524371878
2.4885587977588,2.4,2.50041189970348
2.38816841335856,2.4,2.46579237024237
2.37323924353555,2.7,2.47739790321119
2.73665050717885,3,2.82015864071648
3.07503887639691,2.7,3.01950704542188
2.6691521173548,2.8,2.61701604836959
2.73968416210903,3.1,2.86572156767979
3.1354771965489,2.8,3.06256040297293
2.76449563945392,2.5,2.69086067961932
2.37374946731517,2.4,2.29901319150314
2.3183580094643,1.9,2.31820103593795
1.79664147241933,1.8,1.73531577900946
1.71139167492244,1.8,1.76355022521688
1.80117811094083,2.1,1.84447583103205
2.16458937458413,2.1,2.06157266155584
2.15701908113245,2.1,2.05584524087514
2.10466127821175,2.2,2.24640491799622
2.219980832435,2.5,2.11787857975773
2.56341606395417,2.5,2.47472189723349
2.53839316952893,3,2.64734622925283
3.06263313772446,3.3,3.18939070020597
3.3959746446414,3.8,3.3312055503651
3.87773911743812,4.4,4.19347415996573
4.5046814841041,4.7,4.54693329664039
4.74823655500265,5.2,4.86202497303461
5.21254842682581,4.5,5.22054379605406
4.3403365885896,4.1,4.37038336667649
3.80945938488271,3.1,3.90534320782685
2.78852577406746,3,2.93683156960787
2.76825093524407,3.2,2.63657301325314
3.17593948457676,2.9,3.11060779183998
2.84238656057947,2.3,2.67930470576793
2.12313432674455,2.2,2.12720332288046
2.07531316234536,1.8,1.83174903317287
1.72127398244433,1.8,1.65026690909756
1.74882030802013,1.6,1.64392485591705
1.5879916034679,1.1,1.3353001467052
1.0164406946528,1.5,1.31604070138426
1.5252412692457,1.9,1.66093754716194
2.06368876640427,2.9,2.42647830520191
3.13698018014022,3.5,3.11913831882353
3.73385279007983,3,3.33367576302319
2.96758842232461,3.4,3.12878673472226
3.33676818912899,3.7,3.62667636254401
3.75989613206431,3.4,3.73103575067472
3.33655677204864,3.2,3.31073996740417
3.06113015413314,3.1,3.03145788296573
3.00321526513171,3.1,3.05360532471438
3.04064389822939,3.1,3.14340806337589
3.05809649920296,3.2,3.13303561890872
3.1734160534262,3.3,3.13827266998732
3.28621217649889,3.7,3.23100797788926
3.72751436126774,4,3.57269411446571
4.04592669836168,4.4,4.17795057439299
4.42982421790872,4,4.41099348783711
3.90609447349281,4.5,4.02259429846926
4.42297556531701,4.5,4.7596746941616
4.48016881345847,4.2,4.60760358983752
4.04694714592091,4.4,4.09572325585909
4.28515654781908,4.5,4.40447754832278
4.4477870426619,5.2,4.60833479819273
5.21759528912693,5,5.27321869283843
4.95183956165295,4.8,4.8919477996222
4.60407910869263,4.2,4.41222794181642
3.95211384760141,3.6,3.74977374908331
3.31024231111243,3.4,3.36171691448531
3.19945939541068,3.5,3.45508180662797
3.42454141777644,3,3.17004702486425
2.88032541745678,2.8,3.09663906436928
2.64485086378953,2.4,2.95637562518763
2.27588251406549,2.6,2.09130606931812
2.55152054906135,2.5,2.51549129224429
2.50096453643124,2.2,2.14117119676198
2.12262410296494,2.7,2.27304503170841
2.7242447685064,2.7,2.78224666391718
2.7639854156743,2.7,2.75558556252978
2.67672241080648,2.7,2.71287786389565
2.67672241080648,2.8,2.64014996949698
2.79204196502972,2.8,2.88107269494514
2.78951853387916,2.4,2.80888807728802
2.31078771601262,2.7,2.55179911375419
2.66684010328459,2.9,3.12706176547595
2.95971932217366,2.8,2.59602072149528
2.7869951027286,2.7,2.79345729549959
2.63929377770879,2.7,2.52805618947433
2.65926980983291,2.2,2.50012570825421
2.10012463969025,2.1,2.16380890369671
1.99742224121981,2,2.10654628054889
1.97188912301494,1.9,1.98531345695439
1.87654560091582,1.7,1.75476029776798
1.66588252459346,1.6,1.67677553974567
1.5730624336449,1.8,1.82302324859487
1.84113017518908,1.5,1.79028004290508
1.50757725119179,1.9,1.69557314650331
1.94152055958932,1.6,1.73063429983687
1.63782597523804,1.5,1.62382042333462
1.46026631057221,1.2,1.35235692105321
1.16918888197373,1.3,1.21024589568495
1.30953133062222,1,1.33605691430655
1.01340703972262,0.5,1.00454033035594
0.426926961084509,0.3,0.421551579902995
0.261262811311511,0,0.196973664018938
0.00761401581071919,0,-0.0459728038789181
0.0500895112095274,0,0.0460521654394531
0.102447314130221,0.1,-0.00603849387165695
0.217766868353467,0,0.0461790133193393
0.0999238829796617,0.1,0.0229492440653726
0.200314267379902,0,0.20510023604868
0.0999238829796618,0,0.0398922189946324
0.0849947131566569,0,-0.115783044624164
0.102447314130221,0.1,0.0960654797620767
0.217766868353466,0.2,0.447824301479272
0.330562991426152,0.3,0.323868965054997
0.425906513525272,0.3,0.462443985301465
0.405930481401148,0.5,0.307070574161062
0.619116988874073,0.3,0.636874108879109
0.383431018126464,0.3,0.281951954930688
0.353572678480454,0.5,0.277091875335505
0.619116988874073,0.6,0.517840918044424
0.729389680796199,0.6,0.781283392851897
0.69196104769851,1,0.730915356038886
1.13578666361792,0.9,1.0589325872859
1.01037338479244,1.2,0.989595815811881
1.28904507471848,1.6,1.51816726506233
1.76020559913334,1.8,1.75092930175625
1.9283931800569,2.3,2.02850826199308
2.43013368497775,2.3,2.32062047497977
2.38261132727782,2.7,2.59489895987532
2.75662653930297,2.9,2.77887173414388
2.97717192314723,2.6,2.87186931464556
2.55635599428211,2.6,2.52163967668201
2.52902108578666,2.9,2.74128059945665
2.92733755137709,3,2.82793293599904
3.03508681214866,3,3.13538839431633
2.9802055780774,3.1,2.89893679748824
3.07807253132708,3,3.13368580644414
2.96022954595328,3,2.97117963770957
2.94530037613027,2.7,2.87270876143053
2.6167943144341,2.5,2.61185591242878
2.39372549943929,2.4,2.44045387800583
2.33581061043786,2.4,2.27351659413045
2.37323924353555,2.4,2.48729908439293
2.39069184450911,2.5,2.32545175748007
2.50601139873236,2.7,2.45910878608742
2.73412707602829,2.4,2.58965467396609
2.36566895008387,2.4,2.47492375481568
2.33833404158842,2.3,2.22152743529118
2.27537229028587,2.1,2.33273333098317
2.04725661298994,1.8,2.02014418587245
1.72379741359489,1.9,1.76046559104378
1.88159246321694,1.9,1.94890001020331
1.93142683498708,2.1,1.89205788185554
2.14461334246,2,2.03558919625078
2.02424692593564,2,2.10416456294199
1.99186515513907,2.1,1.8805252676002
2.12463731033588,1.7,1.94529105003478
1.66083566229234,1.7,1.70552179960157
1.65347678592101,1.5,1.7384072458666
1.49264808136878,1.5,1.35740334105453
1.4976949436699,1.3,1.63693701571712
