,Core inflation(excluding food and energy)
2005 JAN,1.082099581
2005 FEB,1.005596858
2005 MAR,1.187310104
2005 APR,1.14511412
2005 MAY,1.244207709
2005 JUN,1.227576463
2005 JUL,1.457069636
2005 AUG,1.34523422
2005 SEP,1.294068443
2005 OCT,1.25812511
2005 NOV,1.186724158
2005 DEC,1.014349632
2006 JAN,1.039823117
2006 FEB,1.238326258
2006 MAR,1.112820277
2006 APR,1.189942387
2006 MAY,0.986880883
2006 JUN,1.151919796
2006 JUL,0.958133915
2006 AUG,1.190072412
2006 SEP,1.46182877
2006 OCT,1.504486966
2006 NOV,1.615615727
2006 DEC,1.817772527
2007 JAN,1.691585833
2007 FEB,1.918748503
2007 MAR,2.06747939
2007 APR,1.927114074
2007 MAY,2.044578846
2007 JUN,2.017730691
2007 JUL,1.74362843
2007 AUG,1.775525521
2007 SEP,1.435760917
2007 OCT,1.502588445
2007 NOV,1.361341394
2007 DEC,1.32488018
2008 JAN,1.44043916
2008 FEB,1.323757321
2008 MAR,1.317752123
2008 APR,1.556438982
2008 MAY,1.684538532
2008 JUN,1.828775049
2008 JUL,2.037208741
2008 AUG,2.202272978
2008 SEP,2.628993125
2008 OCT,2.309337585
2008 NOV,2.456263085
2008 DEC,1.570442846
2009 JAN,1.988067338
2009 FEB,2.376222586
2009 MAR,2.338089665
2009 APR,2.139113662
2009 MAY,2.205138332
2009 JUN,1.996659526
2009 JUL,2.053083813
2009 AUG,1.992337153
2009 SEP,1.764335329
2009 OCT,1.863196609
2009 NOV,1.873864387
2009 DEC,2.811662072
2010 JAN,3.02687339
2010 FEB,2.695978885
2010 MAR,2.852845588
2010 APR,2.978646591
2010 MAY,2.752117577
2010 JUN,2.959821798
2010 JUL,2.608125168
2010 AUG,2.733744315
2010 SEP,2.867712513
2010 OCT,2.909168864
2010 NOV,2.987790058
2010 DEC,2.997850131
2011 JAN,3.129894409
2011 FEB,3.320453387
2011 MAR,3.199709419
2011 APR,3.854398328
2011 MAY,3.534067507
2011 JUN,3.024300653
2011 JUL,3.457913739
2011 AUG,3.342111355
2011 SEP,3.475372193
2011 OCT,3.391319368
2011 NOV,3.245569339
2011 DEC,3.024797651
2012 JAN,2.580120289
2012 FEB,2.488887213
2012 MAR,2.391189528
2012 APR,1.997953423
2012 MAY,2.081909449
2012 JUN,2.103278753
2012 JUL,2.196021064
2012 AUG,2.0603697
2012 SEP,1.944829228
2012 OCT,2.417502959
2012 NOV,2.337274341
2012 DEC,2.252057315
2013 JAN,2.421529509
2013 FEB,2.39894503
2013 MAR,2.520788705
2013 APR,2.078960671
2013 MAY,2.319409276
2013 JUN,2.343613791
2013 JUL,2.17731384
2013 AUG,2.148773258
2013 SEP,2.135563351
2013 OCT,1.717048273
2013 NOV,1.869688465
2013 DEC,1.755496288
2014 JAN,1.607722739
2014 FEB,1.634966769
2014 MAR,1.641076736
2014 APR,2.030488741
2014 MAY,1.604195879
2014 JUN,2.106900485
2014 JUL,1.77181591
2014 AUG,1.860887217
2014 SEP,1.634435055
2014 OCT,1.656135038
2014 NOV,1.300896247
2014 DEC,1.42432209
2015 JAN,1.495400802
2015 FEB,1.339820125
2015 MAR,1.205195294
2015 APR,0.885086535
2015 MAY,1.01507659
2015 JUN,0.802993598
2015 JUL,1.110577113
2015 AUG,1.043699841
2015 SEP,0.983327407
2015 OCT,0.896921536
2015 NOV,1.094296044
2015 DEC,1.264383157
2016 JAN,1.328758911
2016 FEB,1.045977483
2016 MAR,1.264035051
2016 APR,1.02319879
2016 MAY,1.020923244
2016 JUN,1.147921971
2016 JUL,1.095472057
2016 AUG,0.896699302
2016 SEP,1.299095598
2016 OCT,1.202297985
2016 NOV,1.387459451
2016 DEC,1.454039453
2017 JAN,1.347142486
2017 FEB,1.992361631
2017 MAR,2.027222162
2017 APR,2.408743632
2017 MAY,2.65222459
2017 JUN,2.550146885
2017 JUL,2.667068529
2017 AUG,3.031956573
2017 SEP,2.705999929
2017 OCT,2.77535886
2017 NOV,2.719001352
2017 DEC,2.716759816
2018 JAN,2.879981085
2018 FEB,2.584367742
2018 MAR,2.236079878
2018 APR,2.170108655
2018 MAY,2.119267626
2018 JUN,1.950827505
2018 JUL,1.870723881
2018 AUG,2.107009277
2018 SEP,1.898481481
2018 OCT,1.766093045
2018 NOV,1.891226191
2018 DEC,1.802593916
2019 JAN,1.909430907
2019 FEB,1.965792114
2019 MAR,1.966481741
2019 APR,1.945852637
2019 MAY,1.791134844
2019 JUN,1.938737042
2019 JUL,2.05768285
2019 AUG,1.657873245
2019 SEP,1.774101192
2019 OCT,1.870500421
2019 NOV,1.763774475
2019 DEC,1.454302296
